time units=S;v(111136) units=V;v(112136) units=V;v(113136) units=V;v(114136) units=V;v(115136) units=V;v(116136) units=V;v(117136) units=V;v(118136) units=V;v(119136) units=V;v(120136) units=V;v(121136) units=V;v(122136) units=V;v(123136) units=V;v(124136) units=V;v(125136) units=V;v(126136) units=V;v(127136) units=V;v(128136) units=V;v(129136) units=V;v(130136) units=V;v(131136) units=V;v(132136) units=V;v(133136) units=V;v(134136) units=V;v(135136) units=V;v(136136) units=V;v(137136) units=V;v(138136) units=V;v(139136) units=V;v(140136) units=V;v(141136) units=V;v(142136) units=V;v(143136) units=V;v(144136) units=V;v(145136) units=V;v(146136) units=V;v(147136) units=V;v(148136) units=V;v(149136) units=V;v(150136) units=V;v(151136) units=V;v(152136) units=V;v(153136) units=V;v(154136) units=V;v(155136) units=V;v(156136) units=V;v(157136) units=V;v(158136) units=V;v(159136) units=V;v(160136) units=V;v(161136) units=V;v(162136) units=V;v(163136) units=V;v(164136) units=V;v(165136) units=V;v(166136) units=V;v(167136) units=V;v(168136) units=V;v(169136) units=V;v(170136) units=V;v(171136) units=V;v(172136) units=V;v(173136) units=V;v(174136) units=V;v(175136) units=V;v(176136) units=V;v(177136) units=V;v(178136) units=V;v(179136) units=V;v(180136) units=V;v(181136) units=V;v(182136) units=V;v(183136) units=V;v(184136) units=V;v(185136) units=V;v(186136) units=V;v(187136) units=V;v(188136) units=V;v(189136) units=V;v(190136) units=V
0.000000000000000e+00;1.780743792783450e-129;4.454174021749656e-125;1.114166984740781e-120;2.786977041742843e-116;6.971343759424094e-112;1.743811780272647e-107;4.361970431635666e-103;1.091103198322612e-98;2.729285335271666e-94;6.827033846652317e-90;1.707714129042388e-85;4.271675842478341e-81;1.068516928636703e-76;2.672788087239889e-72;6.685711747441032e-68;1.672363848302913e-63;4.183250722887887e-59;1.046398287324633e-54;2.617460562966087e-50;6.547315590603834e-46;1.637745461632057e-41;4.096656360232815e-37;1.024737590831475e-32;2.563278540062699e-28;6.411784786402204e-24;1.603843813148028e-19;4.011854843678846e-15;1.003525356163232e-10;2.510218297823726e-06;6.279059999999999e-02;2.510218297823726e-06;1.003525356165157e-10;4.011854843694231e-15;1.603843813158279e-19;6.414349090142989e-24;2.564303687509232e-28;1.025147420320650e-32;4.099933816458543e-37;1.639055710435405e-41;6.555174254993932e-46;2.620602269507144e-50;1.047654266653560e-54;4.189946869449302e-59;1.675040807974550e-63;6.696413593709801e-68;2.678137085464219e-72;1.070655330557468e-76;4.281936479477454e-81;1.711816087030918e-85;6.843432496555739e-90;2.735841124527546e-94;1.093724046572803e-98;4.372447958146037e-103;1.748000445607178e-107;6.988089044986877e-112;2.793671407777861e-116;1.116843232726283e-120;4.464873023365553e-125;1.784949811607441e-129;7.135803915292002e-134;2.852724337072600e-138;1.140451204369425e-142;4.559252139446781e-147;1.822680361759669e-151;7.286641778417781e-156;2.913025766373959e-160;1.164558297323765e-164;4.655626626635478e-169;1.861208614951201e-173;7.440668673090441e-178;2.974602096451474e-182;1.189175066012052e-186;4.754038679095621e-191;1.900551439442118e-195;7.597952034749465e-200;3.037480286449067e-204;1.214312288082489e-208;4.854531383396106e-213;1.940726060255945e-217;7.758870893880021e-222
2.000000000000000e-05;5.068818876267223e-89;2.659626747008541e-85;1.332326355157725e-81;6.353845453140429e-78;2.876379877532403e-74;1.232210136264063e-70;4.978329693692244e-67;1.889933377593246e-63;6.714798366680140e-60;2.223001667738848e-56;6.824612726381222e-53;1.932617940897985e-49;5.018762313341047e-46;1.187400265460813e-42;2.540853695635355e-39;4.877295154939090e-36;8.320586798348351e-33;1.248202146822641e-29;1.626447659707645e-26;1.814658167049342e-23;1.704446035770108e-20;1.320523503514844e-17;8.230284049840108e-15;3.998747021161203e-12;1.453951148170541e-09;3.744246361564212e-07;6.314025796201138e-05;6.185413895882328e-03;2.887163201269774e-01;4.755283000000000e+00;2.887163203718930e-01;6.185458733747998e-03;6.314050287935229e-05;3.744254724946612e-07;1.494776791161484e-09;4.082390404110649e-12;8.364062856628010e-15;1.355163773945191e-17;1.741232512444839e-20;1.864209168399323e-23;1.664398039551093e-26;1.273459199591202e-29;8.518243868707233e-33;4.980127028816956e-36;2.588855564265820e-39;1.212786408809356e-42;5.116424852382575e-46;1.974036270903049e-49;6.959413696364826e-53;2.263690179345364e-56;6.829246865641348e-60;1.920063771724923e-63;5.052870005677769e-67;1.249602617784088e-70;2.914784285282205e-74;6.434346515154200e-78;1.348391083231443e-81;2.690229123874240e-85;5.123680534164433e-89;9.338330786107987e-93;1.632493092662893e-96;2.743222179223958e-100;4.439857117585954e-104;6.934094666624053e-108;1.046853635687680e-111;1.530286612182921e-115;2.169310487257278e-119;2.986510352244092e-123;3.998469328638057e-127;5.212794582780720e-131;6.625556034078754e-135;8.219532454991691e-139;9.963585113353490e-143;1.181334678876298e-146;1.371324549868262e-150;1.559970625027234e-154;1.740522012337582e-158;1.906286240537904e-162;2.051079522199246e-166;2.169856637980372e-170
4.000000000000000e-05;6.555165496222290e-73;1.151150967088116e-69;1.903946811581087e-66;2.956278549846049e-63;4.296791590035168e-60;5.827670676081510e-57;7.350757620947546e-54;8.591473530851958e-51;9.267762628189049e-48;9.186898093745711e-45;8.328816989577534e-42;6.869772696314470e-39;5.125384788194212e-36;3.436607489517156e-33;2.055928063993713e-30;1.088452226220674e-27;5.052317932385726e-25;2.034241770392434e-22;7.016802834104136e-20;2.043300763792617e-17;4.935841390994546e-15;9.681325299729792e-13;1.501280634965803e-10;1.778531017260321e-08;1.537871774131030e-06;9.107199361961632e-05;3.360983994961183e-03;6.659237696758420e-02;5.711610368752909e-01;2.938926000000000e+00;5.711621980598932e-01;6.664422464507772e-02;3.362145311967124e-03;9.108800570001543e-05;1.731898336637080e-06;1.938941604978854e-08;1.603285278454528e-10;1.073288151327489e-12;5.366451072137797e-15;2.266548925272043e-17;7.658548232398341e-20;2.192561043949210e-22;5.508978630563733e-25;1.174233280979379e-27;2.198661551890084e-30;3.703483909487842e-33;5.481700071791658e-36;7.389329862220087e-39;8.899989196496845e-42;9.761429946548201e-45;9.799024880185037e-48;9.045006593976678e-51;7.709613378243073e-54;6.091797686879568e-57;4.478234145398688e-60;3.072971363500867e-63;1.974412517369148e-66;1.191210418381895e-69;6.766584772156143e-73;3.627974338815880e-76;1.840292266022053e-79;8.850931515303414e-83;4.044504710959428e-86;1.759374632929090e-89;7.298985910863007e-93;2.892867838727435e-96;1.097151706810602e-99;3.987948602048515e-103;1.391282590033089e-106;4.665198558269727e-110;1.505532490628402e-113;4.681918206470684e-117;1.404733007594247e-120;4.070974960251647e-124;1.140810563366561e-127;3.094522740644694e-131;8.133426722297926e-135;2.073333563360312e-138;5.130727641200902e-142;1.233918002359552e-145
6.000000000000001e-05;4.563007017052938e-63;3.843779939787432e-60;3.036756061694576e-57;2.241548546014832e-54;1.541382515565587e-51;9.843148950867172e-49;5.817598983804468e-46;3.170566025689205e-43;1.586956263463072e-40;7.262955211220352e-38;3.024646100674716e-35;1.140031697140782e-32;3.865855059629665e-30;1.171530131840647e-27;3.148903308232414e-25;7.442646943663269e-23;1.531658965267031e-20;2.713100330879383e-18;4.080784731381361e-16;5.127715054664610e-14;5.276486182163469e-12;4.336221196139600e-10;2.754394432007814e-08;1.293134110760827e-06;4.199746548370819e-05;8.437699113720156e-04;8.132756761656777e-03;4.286495678154507e-04;-4.434520395710617e-01;-2.938926000000002e+00;-4.433560168574816e-01;2.151958731797180e-03;8.228843041863937e-03;8.469930355856488e-04;5.824915823019908e-05;1.618812746183525e-06;3.247562219773001e-08;5.564291954104161e-10;6.436996004257700e-12;6.531804815948487e-14;4.994849107787415e-16;3.220723314938764e-18;1.863394661141121e-20;8.827703657887286e-23;3.658625598722686e-25;1.383052476424729e-27;4.483942799950479e-30;1.337703289220368e-32;3.495622604017836e-35;8.285138160125199e-38;1.789988101467789e-40;3.541204127367282e-43;6.441885587931186e-46;1.081685540232664e-48;1.682481612893507e-51;2.432098144433665e-54;3.277258645345161e-57;4.128235453330716e-60;4.873991361656505e-63;5.406787520594728e-66;5.648435202208212e-69;5.569162999329640e-72;5.192868662444400e-75;4.587879602571886e-78;3.847590360240170e-81;3.068172323786704e-84;2.330168093644533e-87;1.688019288402751e-90;1.168106996799179e-93;7.732219334394661e-97;4.902463363042675e-100;2.980977158227000e-103;1.740433543496679e-106;9.768048079538073e-110;5.275758251734030e-113;2.745007338730958e-116;1.377270574653018e-119;6.670060747148036e-123;3.120870784053474e-126;1.412642250644453e-129
8.000000000000001e-05;5.095840591949111e-56;2.470809574290941e-53;1.121608533007990e-50;4.744465748267156e-48;1.864595607331549e-45;6.786312028268724e-43;2.279366165944389e-40;7.038277849726771e-38;1.989631814089575e-35;5.125437606096534e-33;1.197082768797875e-30;2.520474076001671e-28;4.753715908730612e-26;7.973357200858349e-24;1.179572450475378e-21;1.524567387327460e-19;1.702409929378130e-17;1.620734850543270e-15;1.294436405182760e-13;8.499788215571968e-12;4.470043210949545e-10;1.816116782079985e-08;5.399261528468683e-07;1.066366012685496e-05;1.087663569966073e-04;-1.902435544488290e-04;-1.666825287191622e-02;-1.381750704122087e-01;-5.523189203031442e-01;-4.755282999999999e+00;-5.512645910113790e-01;-1.299373362918316e-01;-1.561092150713285e-02;-1.148153818977960e-04;2.971081957823919e-04;1.853400452955369e-05;7.785662803523383e-07;3.030603110257669e-08;6.638799552088081e-10;1.355884773168156e-11;1.900696335472240e-13;2.236610853157491e-15;2.448392743614177e-17;2.086860886796476e-19;1.551685995589647e-21;1.077482033645119e-23;6.213293284420713e-26;3.358594023769534e-28;1.550691319846615e-30;6.480867382474720e-33;2.463915749101379e-35;8.559732167760219e-38;2.728583702847167e-40;8.011522984142142e-43;2.174321479434224e-45;5.472418664689534e-48;1.281136761746689e-50;2.797654828978072e-53;5.713658560638788e-56;1.094007299972926e-58;1.968377774924354e-61;3.335139112625514e-64;5.332313112122531e-67;8.060115492391060e-70;1.153909419976510e-72;1.567273996457658e-75;2.022829579566400e-78;2.484716272515382e-81;2.908879976957068e-84;3.250150821738554e-87;3.470390219739921e-90;3.545616475902722e-93;3.470247733966004e-96;3.257450751781765e-99;2.935726357189485e-102;2.542874952038080e-105;2.119036971731406e-108;1.700476833069028e-111;1.315283523075747e-114;9.821535124675997e-118
1.000000000000000e-04;1.372932435877162e-50;4.278650933529815e-48;1.247130920124964e-45;3.380045062208184e-43;8.491590381609198e-41;1.970807620851805e-38;4.210029259725287e-36;8.244272386689438e-34;1.473345288411050e-31;2.391038204841674e-29;3.504200269399970e-27;4.608891776388666e-25;5.401572066008199e-23;5.595067911177674e-21;5.073468463002355e-19;3.981951840746105e-17;2.668101585198147e-15;1.500198467735231e-13;6.921200974968657e-12;2.539479879904574e-10;7.062652149748875e-09;1.361982237058861e-07;1.420630752463765e-06;-3.703098285803710e-06;-3.246952232778931e-04;-3.564324652885884e-03;-7.836906096110336e-03;6.383965827654586e-02;1.560999914442094e-01;-1.805027210598914e-18;1.576383671510140e-01;6.143114748460461e-02;-6.269580823389686e-03;-3.223349884714818e-03;7.460733487952878e-05;3.703648615251805e-05;3.920492562240071e-06;3.939335051990501e-07;1.505059689899586e-08;5.869979612766336e-10;1.353284911296017e-11;2.602926047631583e-13;4.905647302838062e-15;6.700810689701930e-17;7.960780047719982e-19;9.131293733594089e-21;8.328673107693033e-23;7.308842248812237e-25;5.300951602486339e-27;3.474836433382748e-29;2.068846272208194e-31;1.123758280006037e-33;5.592058803321980e-36;2.559103321836858e-38;1.080831978374359e-40;4.226748034524067e-43;1.535160130959868e-45;5.193131582071185e-48;1.640511120893920e-50;4.851474159762624e-53;1.346216848431695e-55;3.512715025495891e-58;8.636555015737421e-61;2.004653068957054e-63;4.400711035018973e-66;9.152332940784247e-69;1.806202608651994e-71;3.387585931962441e-74;6.046900870205873e-77;1.028707829791926e-79;1.670077925891213e-82;2.590649554902003e-85;3.844363203786721e-88;5.463577132937302e-91;7.444540565597551e-94;9.735486590781369e-97;1.223117040703163e-99;1.477687787674546e-102;1.718298301975783e-105;1.926928236461755e-108
1.200000000000000e-04;3.308549805210327e-46;7.108848768692378e-44;1.427604835976710e-41;2.659938094527309e-39;4.583033149631553e-37;7.275772584098653e-35;1.060029407263157e-32;1.411078400391127e-30;1.707809062197530e-28;1.868859079878448e-26;1.837515749028823e-24;1.611626501972328e-22;1.250311941156641e-20;8.494745359897503e-19;4.993220344846648e-17;2.500806855660340e-15;1.046009136541576e-13;3.552094174044858e-12;9.368409068910318e-11;1.763169614295382e-09;1.850603509020699e-08;-5.821220615342603e-08;-5.278213752165504e-06;-7.093044145381137e-05;-1.968062178710502e-04;3.853226197976982e-03;3.211558490397718e-02;6.643001133242056e-02;3.785593210763706e-01;4.755283000000000e+00;3.727488095689392e-01;3.574784280432127e-02;2.634151834714516e-02;3.575566144187900e-03;-7.891224797939788e-04;-6.286054076730818e-05;2.072747726734536e-07;1.548003081599280e-06;1.056412589254875e-07;8.344812817161117e-09;2.995966126662950e-10;8.886199073698291e-12;2.777406029548306e-13;5.676577239391784e-15;1.005376307756414e-16;1.797976951971700e-18;2.412914800034975e-20;3.224821584598404e-22;3.413365549374456e-24;3.260780305470651e-26;2.825326843988917e-28;2.230082111395287e-30;1.610247142838802e-32;1.067729781179511e-34;6.524997643670407e-37;3.687139407482338e-39;1.932531152080724e-41;9.421843266313746e-44;4.284282776701695e-46;1.821533829271784e-48;7.258178787160810e-51;2.716442435357164e-53;9.568615623310945e-56;3.178439748065511e-58;9.974411057742519e-61;2.962215719629539e-63;8.338907550477890e-66;2.228609627704496e-68;5.662729479088692e-71;1.369894456133889e-73;3.159298548276779e-76;6.954752814648424e-79;1.463119406452711e-81;2.944968055183286e-84;5.677506042836282e-87;1.049454215623367e-89;1.861793481801879e-92;3.173048262273094e-95;5.199923982742548e-98;8.213602208182975e-101
1.400000000000000e-04;1.455918711967090e-42;2.259996732553889e-40;3.276950459940840e-38;4.397586281718015e-36;5.442182040854289e-34;6.186024764286479e-32;6.429811859692433e-30;6.080828608976095e-28;5.202866984334268e-26;4.001378976180132e-24;2.745143310553828e-22;1.664894316544078e-20;8.828595862837949e-19;4.036853316189980e-17;1.562576574790544e-15;4.987596092443665e-14;1.258866629706935e-12;2.314711206519978e-11;2.424353159413826e-10;-8.640093013939491e-10;-7.986882992637980e-08;-1.238765042014454e-06;-5.070458786096940e-06;8.902894048745651e-05;1.190269325135033e-03;2.980382662145085e-03;-1.793306710039540e-02;-3.984242514060007e-02;3.222801230909463e-01;2.938925999999993e+00;3.189004402226042e-01;-2.297270307013222e-02;-2.153256017294865e-02;1.162370575824594e-03;1.161809980110244e-04;-8.536023191191134e-05;-1.623884313348536e-05;8.793299186772771e-07;2.062095335535298e-07;4.700712102547191e-08;2.600574303476530e-09;1.166087091130199e-10;6.104048642212513e-12;1.791697503943704e-13;4.534941789570582e-15;1.230359237980549e-16;2.317565108631059e-18;4.546612251495355e-20;6.686339189604118e-22;8.862128575458174e-24;1.063955157186851e-25;1.161826531170791e-27;1.158854462858358e-29;1.059958302870913e-31;8.922775261112000e-34;6.936305857131015e-36;4.995007134337141e-38;3.341888231663962e-40;2.082947151738066e-42;1.212549870679813e-44;6.608293798760961e-47;3.379215468191318e-49;1.624756834047512e-51;7.359726962343576e-54;3.146596609224252e-56;1.271996896011570e-58;4.869835373663535e-61;1.768498752185180e-63;6.100997437262670e-66;2.002225313676811e-68;6.259231075515561e-71;1.866279041172599e-73;5.313798456991185e-76;1.446463189290913e-78;3.768440165475535e-81;9.406426302083982e-84;2.251819016897454e-86;5.174954115647389e-89;1.142732824199032e-91;2.431753450195473e-94
1.600000000000000e-04;1.751683397465513e-39;2.032180887910288e-37;2.200589661379695e-35;2.198678187003696e-33;2.018656588275369e-31;1.695338519314589e-29;1.295659858502432e-27;8.957295932778607e-26;5.562758623326920e-24;3.077702239220495e-22;1.501667680107930e-20;6.378688388197260e-19;2.318558670102769e-17;7.034888060686175e-16;1.711458671730557e-14;3.081153833473369e-13;3.208318091992774e-12;-1.258802386259301e-11;-1.172886169547683e-09;-2.022552058112309e-08;-1.128171012223452e-07;1.507417934779281e-06;2.959981387151973e-05;1.271509019070870e-04;-8.889856734160307e-04;-8.649313669899142e-03;-9.521156814806005e-03;2.825978290942008e-02;-2.562614710346464e-01;-2.938925999999999e+00;-2.391634198856920e-01;6.600898301828081e-02;7.496650013947773e-03;-6.390750605539101e-03;4.313461191961001e-04;1.400719986837826e-04;6.138880761337365e-06;-4.105307987310680e-06;-2.242006454809906e-07;1.003633598964731e-07;9.246999773345736e-09;6.499797786492482e-10;6.157144557019453e-11;2.540674154343064e-12;8.974692811344799e-14;3.680490055748282e-15;9.423112233789600e-17;2.661801817132871e-18;5.250276545149864e-20;9.319051835289529e-22;1.496354769501140e-23;2.181424418412605e-25;2.899788304440147e-27;3.529033591360222e-29;3.946632842170217e-31;4.069886021502655e-33;3.882577060940563e-35;3.436698948545765e-37;2.830476582885982e-39;2.174737938145017e-41;1.562581648545662e-43;1.052346953636753e-45;6.657118254591777e-48;3.963685479699801e-50;2.225464749396892e-52;1.180393114393859e-54;5.924468629801051e-57;2.818261766351074e-59;1.272559139146931e-61;5.462114740110909e-64;2.231617881089368e-66;8.689920119878902e-69;3.229106271565425e-71;1.146378305805512e-73;3.892580908113302e-76;1.265536073187545e-78;3.943494974580747e-81;1.178912358830178e-83;3.384393989083932e-86;9.363098287491789e-89
1.800000000000000e-04;7.588188267323353e-37;6.736072245980329e-35;5.575246969857414e-33;4.240460920615346e-31;2.949633491721171e-29;1.866076590471576e-27;1.066815414549926e-25;5.468785397322554e-24;2.490050365722883e-22;9.948865292034757e-21;3.431595699966235e-19;9.978293006522503e-18;2.352304252069765e-16;4.153995961294880e-15;4.288095690708985e-14;-1.842260424959983e-13;-1.704679946570730e-11;-3.186679370743973e-10;-2.237606366530488e-09;2.140954692270540e-08;6.008534595625448e-07;3.997657768697718e-06;-1.785378117765757e-05;-3.744130170086511e-04;-1.158109519392017e-03;5.235131202341664e-03;2.243741370351002e-02;-5.160398118057494e-02;-5.295148795537649e-01;-4.755283000000000e+00;-5.388125792470130e-01;-9.230501106886613e-02;1.405732356192373e-02;7.936966409289578e-03;-8.075387143501202e-04;-5.712316866609092e-05;2.179395643576353e-05;-3.506058442866974e-06;-7.443577724541087e-07;-6.125566092045329e-10;8.515232116700072e-09;1.342854545799357e-09;3.062297826757994e-10;1.779861389745469e-11;8.739920363600990e-13;5.554792292681014e-14;1.894161864622946e-15;7.679305043326903e-17;1.981187312966741e-18;4.591778787446477e-20;9.616390381717442e-22;1.824332753972404e-23;3.149278017787340e-25;4.967548123136676e-27;7.187449403372267e-29;9.573402482505077e-31;1.177778606400090e-32;1.342496311261168e-34;1.421899185080333e-36;1.403139337771964e-38;1.293308868119627e-40;1.116082037668321e-42;9.037350829281769e-45;6.880774669138993e-47;4.935497082055954e-49;3.341324629543540e-51;2.138711237647475e-53;1.296406270560637e-55;7.453443042298050e-58;4.070384842559710e-60;2.114364309325673e-62;1.046074727952637e-64;4.935472385100538e-67;2.223290964111957e-69;9.573253394105570e-72;3.944481631792674e-74;1.556817746136528e-76;5.891605133383933e-79;2.139881011577901e-81;7.491261343303858e-84
