time units=S;v(1,2) units=V;v(2,3) units=V;v(3,4) units=V;v(4,5) units=V;v(5,6) units=V;v(6,7) units=V;v(7,8) units=V
0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;-3.533912153772535e-02;3.480328922373463e-02;-1.228373094587231e-02;1.496452818840499e-02;2.770247830482739e-03
5.000000000000000e-13;0.000000000000000e+00;0.000000000000000e+00;9.075487558472711e-06;3.121443586495492e-05;-4.868889837385533e-07;-2.300847331651487e-07;2.001614754440729e-05
1.000000000000000e-12;0.000000000000000e+00;1.355252715606881e-20;1.421169768090680e-05;4.888003238774849e-05;4.228610991965153e-07;1.998276535797208e-07;3.134534780283572e-05
1.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00;1.573816589935020e-05;5.413020148307913e-05;2.595707042475963e-06;1.226629852393743e-06;2.871517672980945e-05
2.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00;1.451324653983297e-05;4.991718630994386e-05;5.532842013198065e-06;2.614605219647685e-06;1.789616526562773e-05
2.500000000000000e-12;0.000000000000000e+00;1.355252715606881e-20;1.170645878006438e-05;4.026345741115994e-05;8.135137095718603e-06;3.844348322675966e-06;4.543023207933127e-06
3.000000000000000e-12;0.000000000000000e+00;1.355252715606881e-20;8.377142952319190e-06;2.881253373242242e-05;9.392639263805791e-06;4.438594774050531e-06;-7.179017879364646e-06
3.500000000000000e-12;0.000000000000000e+00;1.355252715606881e-20;5.236434928128636e-06;1.801031197189200e-05;8.795387698404189e-06;4.156356991628023e-06;-1.504270349666582e-05
4.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00;2.623198242052357e-06;9.022286985685693e-06;6.434232124960210e-06;3.040567010266890e-06;-1.856792170151725e-05
4.500000000000000e-12;0.000000000000000e+00;-8.470329472543003e-21;6.111151536222518e-07;2.101883193161963e-06;2.876539137917372e-06;1.359340141398020e-06;-1.847746469156737e-05
5.000000000000000e-12;0.000000000000000e+00;-1.101142831430590e-20;-8.602289794988880e-07;-2.958690884296307e-06;-1.069927560841580e-06;-5.056060119868889e-07;-1.607173859432603e-05
5.500000000000000e-12;0.000000000000000e+00;-1.185846126156020e-20;-1.889239719582375e-06;-6.497893549016471e-06;-4.606980266833020e-06;-2.177079089505422e-06;-1.270196311323778e-05
5.999999999999999e-12;0.000000000000000e+00;-1.355252715606881e-20;-2.562601652461172e-06;-8.813869713648015e-06;-7.140915714429043e-06;-3.374518096761517e-06;-9.426477035093286e-06
6.499999999999999e-12;0.000000000000000e+00;-1.016439536705160e-20;-2.940878087937599e-06;-1.011492218694524e-05;-8.385372909216214e-06;-3.962600002826820e-06;-6.863171168575281e-06
