time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
0.000000000000000e+00;1.579387290724176e-23;-3.388131789017201e-21
5.000000000000000e-13;1.515186114180212e-26;-3.190232992068555e-24
1.000000000000000e-12;-1.640658516470488e-21;0.000000000000000e+00
1.500000000000000e-12;-5.509975155909948e-23;0.000000000000000e+00
2.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
2.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
3.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
3.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
4.000000000000000e-12;-1.201515512459563e-24;2.038130344180700e-22
4.500000000000000e-12;-4.808554362386856e-26;8.156749085628610e-24
5.000000000000000e-12;7.495438367040155e-26;-1.271187131486393e-23
5.500000000000000e-12;3.161890901474136e-27;-5.362401541172328e-25
5.999999999999999e-12;0.000000000000000e+00;0.000000000000000e+00
6.499999999999999e-12;0.000000000000000e+00;0.000000000000000e+00
6.999999999999999e-12;0.000000000000000e+00;0.000000000000000e+00
7.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
8.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
8.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
9.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
9.500000000000000e-12;1.854384607375641e-26;-3.148219075417385e-24
9.999999999999999e-12;9.648772682002397e-28;-1.638087918279014e-25
1.050000000000000e-11;-7.401764806810656e-26;1.256643296540414e-23
1.100000000000000e-11;-2.511043775458966e-23;6.816785035770077e-25
1.150000000000000e-11;-1.389800343419417e-24;0.000000000000000e+00
1.200000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.250000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.300000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.350000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.400000000000000e-11;-2.494776257695046e-23;0.000000000000000e+00
1.450000000000000e-11;-1.548460361011829e-24;0.000000000000000e+00
1.500000000000000e-11;3.666481507744104e-26;-6.223718976104935e-24
1.550000000000000e-11;2.358440872935601e-27;-4.003367583856156e-25
1.600000000000000e-11;9.146760704324297e-27;-1.552624326993069e-24
1.650000000000000e-11;-6.203277389032863e-24;-1.033896066295685e-25
1.700000000000001e-11;-4.201692605846030e-25;0.000000000000000e+00
1.750000000000001e-11;-1.238132961154658e-23;0.000000000000000e+00
1.800000000000001e-11;-8.667818574345225e-25;0.000000000000000e+00
1.850000000000001e-11;-6.177443137640631e-24;0.000000000000000e+00
1.900000000000001e-11;-4.420685265126452e-25;-7.713540379467877e-25
1.950000000000001e-11;3.337441445931597e-28;-5.665292886453108e-26
2.000000000000001e-11;0.000000000000000e+00;0.000000000000000e+00
2.050000000000002e-11;3.636289278200255e-23;5.000000000000168e-05
2.100000000000002e-11;-4.117719753963517e-36;1.000000000000019e-04
2.150000000000002e-11;-6.630666568556401e-23;9.999999999999999e-05
2.200000000000002e-11;5.272801251327506e-23;1.000000000000000e-04
2.250000000000002e-11;1.058791184067875e-22;9.999999999999999e-05
2.300000000000002e-11;1.058791184067875e-22;1.000000000000000e-04
2.350000000000003e-11;-5.135295902748625e-23;1.000000000000000e-04
2.400000000000003e-11;-1.594533176805451e-22;1.000000000000000e-04
2.450000000000003e-11;-5.367997261881881e-23;1.000000000000000e-04
