time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
0.000000000000000e+00;-2.117582368135751e-22;3.000000000000000e-04
5.000000000000000e-13;2.117582368135751e-22;2.999999999999999e-04
1.000000000000000e-12;5.544567508273354e-22;3.000000000000000e-04
1.500000000000000e-12;1.759203277770007e-21;2.999999999999999e-04
2.000000000000000e-12;6.063331831491224e-22;2.999999999999999e-04
2.500000000000000e-12;-3.772019964625763e-22;3.000000000000000e-04
3.000000000000000e-12;-1.501506567461086e-23;3.000000000000000e-04
3.500000000000000e-12;-3.249333413675445e-22;3.000000000000000e-04
4.000000000000000e-12;-3.059319969438598e-22;3.000000000000000e-04
4.500000000000000e-12;2.468768252111728e-22;3.000000000000000e-04
5.000000000000000e-12;0.000000000000000e+00;3.000000000000000e-04
5.500000000000000e-12;1.995287080530001e-22;3.000000000000000e-04
5.999999999999999e-12;1.846998060085589e-22;3.000000000000000e-04
6.499999999999999e-12;0.000000000000000e+00;3.000000000000000e-04
6.999999999999999e-12;-2.057322877511235e-23;3.000000000000000e-04
7.500000000000000e-12;-2.117582368135751e-22;3.000000000000000e-04
8.000000000000000e-12;-7.589758572035860e-23;3.000000000000000e-04
8.500000000000000e-12;1.364484444800066e-22;3.000000000000000e-04
9.000000000000000e-12;2.117582368135751e-22;2.999999999999999e-04
9.500000000000000e-12;-4.878055439046241e-23;3.000000000000000e-04
9.999999999999999e-12;-2.030713761504473e-23;3.000000000000000e-04
1.050000000000000e-11;-5.262529428213202e-23;3.000000000000000e-04
1.100000000000000e-11;-4.634659244500827e-23;3.000000000000000e-04
1.150000000000000e-11;-1.608103247551710e-22;3.000000000000000e-04
1.200000000000000e-11;-2.065253184900002e-23;3.000000000000000e-04
1.250000000000000e-11;0.000000000000000e+00;3.000000000000000e-04
1.300000000000000e-11;-3.197186804007530e-24;3.000000000000000e-04
1.350000000000000e-11;0.000000000000000e+00;3.000000000000000e-04
1.400000000000000e-11;-6.244396049725129e-22;3.000000000000000e-04
1.450000000000000e-11;3.513530226470864e-22;3.000000000000000e-04
1.500000000000000e-11;-3.160466379181292e-22;3.000000000000000e-04
1.550000000000000e-11;-8.322021301865711e-22;3.000000000000000e-04
1.600000000000000e-11;-1.519201479077456e-22;3.000000000000000e-04
1.650000000000000e-11;6.610084685440967e-23;3.000000000000000e-04
1.700000000000001e-11;2.305910196762474e-21;3.000000000000000e-04
1.750000000000001e-11;-9.815682567690974e-24;3.000000000000000e-04
1.800000000000001e-11;-1.342756760513012e-21;3.000000000000000e-04
1.850000000000001e-11;-1.590526840756342e-21;2.999999999999999e-04
1.900000000000001e-11;1.414744138940677e-21;3.000000000000000e-04
1.950000000000001e-11;-1.371673852139646e-21;3.000000000000000e-04
2.000000000000001e-11;1.466253454965144e-21;3.000000000000000e-04
2.050000000000002e-11;7.042236655801029e-22;3.000000000000000e-04
2.100000000000002e-11;-2.344179854355658e-22;3.000000000000000e-04
2.150000000000002e-11;-1.646525683267345e-22;3.000000000000000e-04
2.200000000000002e-11;1.473568842138237e-23;3.000000000000000e-04
2.250000000000002e-11;0.000000000000000e+00;3.000000000000000e-04
2.300000000000002e-11;5.844486107990503e-24;3.000000000000000e-04
2.350000000000003e-11;0.000000000000000e+00;3.000000000000000e-04
2.400000000000003e-11;-2.117582368135751e-22;3.000000000000000e-04
2.450000000000003e-11;0.000000000000000e+00;2.999999999999999e-04
2.500000000000003e-11;0.000000000000000e+00;3.000000000000000e-04
2.550000000000003e-11;-1.941196055463529e-22;3.000000000000000e-04
2.600000000000003e-11;0.000000000000000e+00;3.000000000000000e-04
2.650000000000003e-11;0.000000000000000e+00;3.000000000000000e-04
2.700000000000004e-11;0.000000000000000e+00;3.000000000000000e-04
2.750000000000004e-11;-1.059198259440142e-22;3.000000000000000e-04
2.800000000000004e-11;-2.117582368135751e-22;3.000000000000000e-04
2.850000000000004e-11;-2.104171232983026e-22;3.000000000000000e-04
2.900000000000004e-11;0.000000000000000e+00;3.000000000000000e-04
2.950000000000004e-11;-4.692328319942363e-23;3.000000000000000e-04
3.000000000000004e-11;1.734952081340815e-22;3.000000000000000e-04
3.050000000000004e-11;-1.465497101446307e-22;3.000000000000000e-04
3.100000000000004e-11;-1.248347617913626e-22;3.000000000000000e-04
3.150000000000003e-11;-2.885234735577773e-23;3.000000000000000e-04
3.200000000000003e-11;0.000000000000000e+00;2.999999999999999e-04
3.250000000000003e-11;-1.876323212159597e-22;3.000000000000000e-04
3.300000000000003e-11;-1.992621269731649e-22;3.000000000000000e-04
3.350000000000003e-11;0.000000000000000e+00;3.000000000000000e-04
3.400000000000002e-11;1.027734317741171e-22;3.000000000000000e-04
3.450000000000002e-11;-1.358992244428760e-22;3.000000000000000e-04
3.500000000000002e-11;0.000000000000000e+00;3.000000000000000e-04
3.550000000000002e-11;-2.948297578104024e-22;2.999999999999999e-04
3.600000000000002e-11;-1.236711454618653e-22;3.000000000000000e-04
3.650000000000002e-11;4.030144123394267e-22;3.000000000000000e-04
3.700000000000001e-11;6.723673272186834e-23;3.000000000000000e-04
3.750000000000001e-11;-2.117582368135751e-22;3.000000000000000e-04
3.800000000000001e-11;8.843627244321549e-23;3.000000000000000e-04
3.850000000000001e-11;-1.240936687830264e-22;2.999999999999999e-04
3.900000000000001e-11;-4.843536930133863e-23;2.999999999999999e-04
3.950000000000001e-11;-1.195161281975601e-21;3.000000000000000e-04
4.000000000000000e-11;-7.221188733691546e-22;3.000000000000000e-04
4.050000000000000e-11;4.151132886590729e-22;2.999999999999999e-04
4.100000000000000e-11;-1.664131077199222e-21;3.000000000000000e-04
4.150000000000000e-11;-1.597534483606085e-22;3.000000000000000e-04
4.200000000000000e-11;-6.518272010720467e-22;3.000000000000000e-04
4.250000000000000e-11;-4.298129125601944e-22;3.000000000000000e-04
4.299999999999999e-11;-2.693261975861649e-21;3.000000000000000e-04
4.349999999999999e-11;9.388172224701831e-22;3.000000000000000e-04
4.399999999999999e-11;1.415538019344140e-21;3.000000000000000e-04
4.449999999999999e-11;-8.475153700677147e-22;3.000000000000000e-04
4.499999999999999e-11;0.000000000000000e+00;3.000000000000000e-04
4.549999999999999e-11;-2.117582368135751e-22;2.999999999999999e-04
4.599999999999998e-11;-2.117582368135751e-22;3.000000000000000e-04
4.649999999999998e-11;0.000000000000000e+00;3.000000000000000e-04
4.699999999999998e-11;8.628507860065287e-23;3.000000000000000e-04
4.749999999999998e-11;3.258595946081347e-23;3.000000000000000e-04
4.799999999999998e-11;-2.117582368135751e-22;3.000000000000000e-04
4.849999999999997e-11;2.234376408827492e-23;3.000000000000000e-04
4.899999999999997e-11;2.117582368135751e-22;3.000000000000000e-04
4.949999999999997e-11;-2.556442750249055e-22;3.000000000000000e-04
4.999999999999997e-11;0.000000000000000e+00;3.000000000000000e-04
5.049999999999997e-11;4.999999999999639e-05;3.000000000000000e-04
5.099999999999997e-11;9.999999999999612e-05;3.000000000000000e-04
5.149999999999996e-11;9.999999999999999e-05;2.999999999999999e-04
5.199999999999996e-11;1.000000000000000e-04;3.000000000000000e-04
5.249999999999996e-11;1.000000000000000e-04;3.000000000000000e-04
5.299999999999996e-11;9.999999999999999e-05;3.000000000000000e-04
5.349999999999996e-11;9.999999999999999e-05;3.000000000000000e-04
5.399999999999996e-11;9.999999999999999e-05;3.000000000000000e-04
5.449999999999995e-11;1.000000000000000e-04;3.000000000000000e-04
5.499999999999995e-11;1.000000000000000e-04;3.000000000000000e-04
5.549999999999995e-11;1.000000000000000e-04;3.000000000000000e-04
5.599999999999995e-11;1.000000000000000e-04;3.000000000000000e-04
5.649999999999995e-11;9.999999999999999e-05;3.000000000000000e-04
5.699999999999995e-11;1.000000000000000e-04;3.000000000000000e-04
5.749999999999994e-11;1.000000000000000e-04;3.000000000000000e-04
5.799999999999994e-11;9.999999999999999e-05;2.999999999999999e-04
5.849999999999994e-11;9.999999999999999e-05;3.000000000000000e-04
5.899999999999994e-11;1.000000000000000e-04;3.000000000000000e-04
5.949999999999994e-11;1.000000000000000e-04;3.000000000000000e-04
5.999999999999993e-11;1.000000000000000e-04;2.999999999999999e-04
6.049999999999993e-11;1.499999999999930e-04;3.000000000000000e-04
6.099999999999993e-11;1.999999999999932e-04;3.000000000000000e-04
6.149999999999993e-11;1.500000000000074e-04;3.000000000000000e-04
6.199999999999993e-11;1.000000000000078e-04;2.999999999999999e-04
