time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
0.000000000000000e+00;0.000000000000000e+00;3.510402438658180e-05;1.396008515007451e-05;0.000000000000000e+00;1.692334793962304e-05
5.000000000000000e-13;-4.078428168898154e-19;6.026787784028790e-02;2.387333906605133e-02;-2.452899044354293e-18;2.906125453774377e-02
1.000000000000000e-12;9.572523890282117e-18;2.052834054878591e-01;8.191760309043292e-02;-2.257092744243868e-17;9.777910749527215e-02
1.500000000000000e-12;1.986748056493510e-17;3.932885085994561e-01;1.591100491031713e-01;-4.814587666699330e-17;1.838829591976405e-01
2.000000000000000e-12;2.831068581202043e-19;5.878694336801156e-01;2.425000265413343e-01;-5.894360316289182e-17;2.681034170307727e-01
2.500000000000000e-12;-5.015525200262966e-17;7.627519167197830e-01;3.219652467242624e-01;-5.431433708182284e-17;3.376733225856768e-01
3.000000000000000e-12;-1.016300353758946e-16;9.034200569630254e-01;3.905615488682221e-01;-4.419726530425970e-17;3.873111800910457e-01
3.500000000000000e-12;-1.233181429777635e-16;1.005102631901670e+00;4.442970290703368e-01;-3.390230862960671e-17;4.177630744397944e-01
4.000000000000000e-12;-1.141522654256975e-16;1.069555524817949e+00;4.817482699944206e-01;-2.360735195495373e-17;4.334159502140430e-01
4.500000000000000e-12;-9.147193123798282e-17;1.102040883214177e+00;5.035611044053891e-01;-1.331239528030075e-17;4.399187238034231e-01
5.000000000000000e-12;-6.088477342968260e-17;1.109174747345162e+00;5.118834939848564e-01;-3.326751326078234e-18;4.423883232591912e-01
5.500000000000000e-12;-2.505604735717366e-17;1.097669485287883e+00;5.097798572909642e-01;5.410523940354335e-18;4.444135941108008e-01
5.999999999999999e-12;6.037592433899070e-18;1.073710565366482e+00;5.006745551826750e-01;1.193620863512474e-17;4.478027994381413e-01
6.499999999999999e-12;2.952212082004497e-17;1.042688182981909e+00;4.878695656560946e-01;1.590377601084517e-17;4.528665669067284e-01
6.999999999999999e-12;5.022156653124517e-17;1.009091359688994e+00;4.741757707142519e-01;1.730017795707102e-17;4.589742202994491e-01
7.500000000000000e-12;6.588821374535045e-17;9.764666068825361e-01;4.616849308246926e-01;1.612541447380229e-17;4.651455191000529e-01
8.000000000000000e-12;6.903535211517147e-17;9.474091612815390e-01;4.516895525579229e-01;1.299425039314690e-17;4.705129756733104e-01
8.500000000000000e-12;6.178314892678260e-17;9.235882282857637e-01;4.447346005870331e-01;8.855894336344204e-18;4.745797199990524e-01
9.000000000000000e-12;5.160801957069849e-17;9.058162185781460e-01;4.407652347814219e-01;4.366829206004628e-18;4.772765539437840e-01
9.500000000000000e-12;4.253873195150834e-17;8.941659033597785e-01;4.393242320691353e-01;2.458072406760851e-19;4.788728728178489e-01
9.999999999999999e-12;3.597940923294403e-17;8.881281334907541e-01;4.397535264919942e-01;-3.014326806589481e-18;4.798157184561849e-01
1.050000000000000e-11;3.199125194387429e-17;8.867930803962023e-01;4.413644539280951e-01;-5.237735822929508e-18;4.805650795781706e-01
1.100000000000000e-11;3.179606853100903e-17;8.890334224454965e-01;4.435564751879746e-01;-6.263882827698627e-18;4.814719748590956e-01
1.150000000000000e-11;3.545763326238563e-17;8.936690938969098e-01;4.458796260177622e-01;-6.161078635962501e-18;4.827194413047003e-01
1.200000000000000e-11;3.931824201538050e-17;8.995986726482125e-01;4.480481003789928e-01;-5.238198245707795e-18;4.843235284357712e-01
1.250000000000000e-11;3.952500725450475e-17;9.058898872026774e-01;4.499194346211789e-01;-3.816315618225248e-18;4.861764816613052e-01
