time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
0.000000000000000e+00;0.000000000000000e+00;1.124403775350800e-02;1.318760981606966e-01;2.616202199932038e-01;1.771249145047762e-02
5.000000000000000e-13;-8.103433819709542e-14;1.932155905204711e+01;2.168564977977637e+02;4.463185506115419e+02;3.032224473225490e+01
1.000000000000000e-12;-4.626446098907557e-13;7.180560196874438e+01;7.385057761091832e+02;1.585076715143476e+03;1.108481316466651e+02
1.500000000000000e-12;-7.994192393348068e-13;1.557741050705186e+02;1.421720883208813e+03;3.191158005702930e+03;2.343358552555268e+02
2.000000000000000e-12;7.758332251581272e-15;2.731739052589998e+02;2.173642450258822e+03;5.112572959429586e+03;3.985658576474037e+02
2.500000000000000e-12;-3.353521397354018e-13;4.260463965461047e+02;2.936537757611353e+03;7.246764303158343e+03;6.018352822586241e+02
3.000000000000000e-12;-1.314294307279251e-12;6.151169164125976e+02;3.676797590122376e+03;9.524529892692401e+03;8.411523664969105e+02
3.500000000000000e-12;-1.118844406355896e-12;8.394943921667141e+02;4.377012040587694e+03;1.189917447995653e+04;1.111998130783315e+03
4.000000000000000e-12;-1.379143135158506e-12;1.096891259334759e+03;5.030292896192785e+03;1.433918970691051e+04;1.408831930200855e+03
4.500000000000000e-12;2.969288175872321e-12;1.384034208363706e+03;5.636256926000964e+03;1.682331481029880e+04;1.725811430093093e+03
5.000000000000000e-12;6.479132920025608e-12;1.697093755578745e+03;6.198242514436446e+03;1.933720375195767e+04;2.057433267058305e+03
5.500000000000000e-12;5.039757717635683e-12;2.032052651290061e+03;6.721437767185305e+03;2.187117631562261e+04;2.398968783604584e+03
5.999999999999999e-12;-2.547386496730263e-12;2.384984970672311e+03;7.211673175300826e+03;2.441870062173555e+04;2.746675699214927e+03
6.499999999999999e-12;-1.193231033850542e-11;2.752245303797347e+03;7.674688374797401e+03;2.697536918096875e+04;3.097823114320664e+03
6.999999999999999e-12;-1.347720523362113e-11;3.130580256893083e+03;8.115727142114611e+03;2.953820797001811e+04;3.450589171455688e+03
7.500000000000000e-12;-1.544682941348227e-11;3.517179116431513e+03;8.539350841342173e+03;3.210521021943503e+04;3.803890390396557e+03
8.000000000000000e-12;-1.677337334085181e-11;3.909680537208937e+03;8.949389742976189e+03;3.467502182982356e+04;4.157190528972618e+03
8.500000000000000e-12;-2.212379960238684e-11;4.306149966251228e+03;9.348975087177059e+03;3.724672910107915e+04;4.510321550752372e+03
9.000000000000000e-12;-3.138573369782236e-11;4.705039705719895e+03;9.740612912723487e+03;3.981971549953338e+04;4.863334876063444e+03
9.500000000000000e-12;-3.519322090352098e-11;5.105140406701362e+03;1.012627442300763e+04;4.239356500938052e+04;5.216389621911972e+03
9.999999999999999e-12;-3.133665303220544e-11;5.505530230708631e+03;1.050748768846029e+04;4.496799691726685e+04;5.569676698326051e+03
1.050000000000000e-11;-3.145470601765439e-11;5.905525761868823e+03;1.088542225025538e+04;4.754282180752817e+04;5.923373206303604e+03
1.100000000000000e-11;-3.312683646384329e-11;6.304637067177224e+03;1.126096290991474e+04;5.011791186888293e+04;6.277619806446364e+03
1.150000000000000e-11;-2.975746765041623e-11;6.702528085542850e+03;1.163477159164323e+04;5.269318085861929e+04;6.632513746337904e+03
1.200000000000000e-11;-2.945110173365931e-11;7.098982798640171e+03;1.200733790071389e+04;5.526857058311196e+04;6.988111368689597e+03
1.250000000000000e-11;-3.143223770158103e-11;7.493876974653517e+03;1.237901959295405e+04;5.784404177529281e+04;7.344435258670973e+03
1.300000000000000e-11;-3.674213949469938e-11;7.887155099784798e+03;1.275007457974820e+04;6.041956793908860e+04;7.701482897823110e+03
1.350000000000000e-11;-3.351059215101203e-11;8.278811852704006e+03;1.312068593700165e+04;6.299513119585489e+04;8.059234786149192e+03
1.400000000000000e-11;-3.102075479948365e-11;8.668877522989158e+03;1.349098129317267e+04;6.557071948169425e+04;8.417661143207839e+03
1.450000000000000e-11;-2.407160797335771e-11;9.057406673622874e+03;1.386104774422711e+04;6.814632465629996e+04;8.776726878333258e+03
1.500000000000000e-11;-2.008147530202272e-11;9.444469513087000e+03;1.423094323242036e+04;7.072194122687005e+04;9.136394945316781e+03
1.550000000000000e-11;-1.928250812522404e-11;9.830145431392824e+03;1.460070514381890e+04;7.329756548705020e+04;9.496628387653875e+03
1.600000000000000e-11;-2.008726930487002e-11;1.021451826387483e+04;1.497035672692057e+04;7.587319493591844e+04;9.857391449205163e+03
1.650000000000000e-11;-1.748096803426234e-11;1.059767289176847e+04;1.533991181323816e+04;7.844882788593485e+04;1.021865005790128e+04
1.700000000000001e-11;-1.535458487087381e-11;1.097969288496689e+04;1.570937822543088e+04;8.102446319840531e+04;1.058037193726057e+04
1.750000000000001e-11;-1.091148497631239e-11;1.136065893014937e+04;1.607876018180026e+04;8.360010010497828e+04;1.094252658155330e+04
1.800000000000001e-11;-2.830707876372904e-12;1.174064784888384e+04;1.644805994151704e+04;8.617573808719339e+04;1.130508513216441e+04
1.850000000000001e-11;2.322555280748333e-12;1.211973204521590e+04;1.681727888284224e+04;8.875137679521398e+04;1.166802027464736e+04
1.900000000000001e-11;5.826712514756162e-12;1.249797925015516e+04;1.718641817038721e+04;9.132701599298240e+04;1.203130617056652e+04
1.950000000000001e-11;7.174703403021580e-12;1.287545248598616e+04;1.755547913955684e+04;9.390265552121478e+04;1.239491840055526e+04
2.000000000000001e-11;5.806288391430054e-12;1.325221017780309e+04;1.792446348929997e+04;9.647829527243340e+04;1.275883393524307e+04
2.050000000000002e-11;7.447140417510332e-12;1.362830634694063e+04;1.829337333848807e+04;9.905393517411765e+04;1.312303111769346e+04
2.100000000000002e-11;1.474443115966352e-12;1.400379086209536e+04;1.866221119943036e+04;1.016295751773318e+05;1.348748964389293e+04
2.150000000000002e-11;-7.498500297731774e-12;1.437870971705483e+04;1.903097992376927e+04;1.042052152490564e+05;1.385219053536393e+04
2.200000000000002e-11;1.295667497369070e-11;1.475310530435206e+04;1.939968262924947e+04;1.067808553670143e+05;1.421711610117136e+04
2.250000000000002e-11;4.156450539712143e-11;1.512701670701695e+04;1.976832260289235e+04;1.093564955161677e+05;1.458224988877282e+04
2.300000000000002e-11;3.055418937693933e-11;1.550047995959783e+04;2.013690322555837e+04;1.119321356863714e+05;1.494757662498362e+04
2.350000000000003e-11;-3.861182124597478e-11;1.587352829880514e+04;2.050542791689614e+04;1.145077758707793e+05;1.531308214951926e+04
2.400000000000003e-11;-1.197910836499847e-10;1.624619239238655e+04;2.087390006195390e+04;1.170834160647698e+05;1.567875334507927e+04
2.450000000000003e-11;-1.825331234160787e-10;1.661850056544010e+04;2.124232297085775e+04;1.196590562652238e+05;1.604457806817299e+04
2.500000000000003e-11;-2.306551423831359e-10;1.699047898024059e+04;2.161069985901003e+04;1.222346964700375e+05;1.641054508072957e+04
2.550000000000003e-11;-2.322165982679685e-10;1.736215181937433e+04;2.197903380094037e+04;1.248103366777904e+05;1.677664397907902e+04
2.600000000000003e-11;-1.895518752358084e-10;1.773354144958284e+04;2.234732772987673e+04;1.273859768875254e+05;1.714286512676444e+04
2.650000000000003e-11;-1.357310616049335e-10;1.810466856630878e+04;2.271558442996957e+04;1.299616170985990e+05;1.750919960286661e+04
2.700000000000004e-11;-8.735041277196947e-11;1.847555232584870e+04;2.308380651354085e+04;1.325372573105762e+05;1.787563915002480e+04
2.750000000000004e-11;-6.143577838696847e-11;1.884621046635642e+04;2.345199644705466e+04;1.351128975231647e+05;1.824217611095586e+04
2.800000000000004e-11;-5.988559352363601e-11;1.921665941806980e+04;2.382015653155772e+04;1.376885377361689e+05;1.860880338973552e+04
2.850000000000004e-11;-8.552994697025819e-11;1.958691440372604e+04;2.418828891584909e+04;1.402641779494544e+05;1.897551441916858e+04
2.900000000000004e-11;-1.294972211085683e-10;1.995698953027470e+04;2.455639561095319e+04;1.428398181629323e+05;1.934230310164750e+04
2.950000000000004e-11;-1.826054296666384e-10;2.032689787300672e+04;2.492447847466362e+04;1.454154583765417e+05;1.970916378832242e+04
3.000000000000004e-11;-2.335828042157425e-10;2.069665155313972e+04;2.529253924854448e+04;1.479910985902378e+05;2.007609124835417e+04
3.050000000000004e-11;-2.760820524483041e-10;2.106626180929831e+04;2.566057953773380e+04;1.505667388039886e+05;2.044308061940044e+04
3.100000000000004e-11;-3.060423903724605e-10;2.143573906240774e+04;2.602860083794543e+04;1.531423790177832e+05;2.081012740726143e+04
3.150000000000003e-11;-3.219544246686177e-10;2.180509297404205e+04;2.639660453720306e+04;1.557180192315914e+05;2.117722743481123e+04
3.200000000000003e-11;-3.246669994647603e-10;2.217433250147137e+04;2.676459191478035e+04;1.582936594454171e+05;2.154437683246945e+04
3.250000000000003e-11;-3.151274475818630e-10;2.254346595259929e+04;2.713256416919511e+04;1.608692996592559e+05;2.191157201586223e+04
3.300000000000003e-11;-2.971375018965751e-10;2.291250103545473e+04;2.750052239569704e+04;1.634449398731074e+05;2.227880965162138e+04
3.350000000000003e-11;-2.764843917361136e-10;2.328144489602508e+04;2.786846762486745e+04;1.660205800869563e+05;2.264608666269232e+04
3.400000000000002e-11;-2.572082967641632e-10;2.365030415671977e+04;2.823640079846450e+04;1.685962203008060e+05;2.301340017961238e+04
3.450000000000002e-11;-2.425918587357535e-10;2.401908496393779e+04;2.860432279828092e+04;1.711718605146574e+05;2.338074755815643e+04
3.500000000000002e-11;-2.415822276173133e-10;2.438779302097723e+04;2.897223443781858e+04;1.737475007285117e+05;2.374812633030754e+04
3.550000000000002e-11;-2.549719270867455e-10;2.475643360877621e+04;2.934013646900291e+04;1.763231409423720e+05;2.411553422192034e+04
3.600000000000002e-11;-2.750552582078279e-10;2.512501162797013e+04;2.970802959614870e+04;1.788987811562358e+05;2.448296911138961e+04
3.650000000000002e-11;-2.993315637524889e-10;2.549353162962007e+04;3.007591446030409e+04;1.814744213701022e+05;2.485042904204512e+04
3.700000000000001e-11;-3.202428821760024e-10;2.586199782395694e+04;3.044379167055181e+04;1.840500615839706e+05;2.521791219040579e+04
3.750000000000001e-11;-3.389821576261647e-10;2.623041412050027e+04;3.081166177521518e+04;1.866257017978380e+05;2.558541687284431e+04
3.800000000000001e-11;-3.520131620274800e-10;2.659878414950664e+04;3.117952529881003e+04;1.892013420117027e+05;2.595294152199102e+04
3.850000000000001e-11;-3.581446183612496e-10;2.696711126597608e+04;3.154738271311177e+04;1.917769822255641e+05;2.632048468939978e+04
3.900000000000001e-11;-3.564791302311861e-10;2.733539859225416e+04;3.191523446714173e+04;1.943526224394212e+05;2.668804502750272e+04
3.950000000000001e-11;-3.518618105952368e-10;2.770364901982887e+04;3.228308096948926e+04;1.969282626532734e+05;2.705562129059927e+04
4.000000000000000e-11;-3.515138504569587e-10;2.807186522484110e+04;3.265092260232784e+04;1.995039028671235e+05;2.742321231963862e+04
4.050000000000000e-11;-3.560390803818879e-10;2.844004970117704e+04;3.301875972134627e+04;2.020795430809727e+05;2.779081704379841e+04
4.100000000000000e-11;-3.582731331367676e-10;2.880820474767263e+04;3.338659265058949e+04;2.046551832948226e+05;2.815843446563451e+04
4.150000000000000e-11;-3.599158295267756e-10;2.917633250627929e+04;3.375442170029976e+04;2.072308235086763e+05;2.852606366523073e+04
4.200000000000000e-11;-3.574065092369968e-10;2.954443496045660e+04;3.412224714518221e+04;2.098064637225336e+05;2.889370378362534e+04
4.250000000000000e-11;-3.548195547388080e-10;2.991251394427779e+04;3.449006925524991e+04;2.123821039363947e+05;2.926135403115218e+04
4.299999999999999e-11;-3.546672899810608e-10;3.028057117031072e+04;3.485788826438495e+04;2.149577441502604e+05;2.962901366750012e+04
4.349999999999999e-11;-3.557764955994128e-10;3.064860821168119e+04;3.522570440612137e+04;2.175333843641282e+05;2.999668201541228e+04
4.399999999999999e-11;-3.542759060414523e-10;3.101662654172523e+04;3.559351788130637e+04;2.201090245779961e+05;3.036435843627788e+04
4.449999999999999e-11;-3.483451387601772e-10;3.138462751596195e+04;3.596132889000487e+04;2.226846647918629e+05;3.073204234976706e+04
4.499999999999999e-11;-3.373987866369117e-10;3.175261239626131e+04;3.632913760666663e+04;2.252603050057260e+05;3.109973320455763e+04
4.549999999999999e-11;-3.247677862574673e-10;3.212058235468118e+04;3.669694420077289e+04;2.278359452195844e+05;3.146743050373933e+04
4.599999999999998e-11;-3.183412341251337e-10;3.248853846998885e+04;3.706474882558365e+04;2.304115854334392e+05;3.183513377111270e+04
4.649999999999998e-11;-3.132485203078306e-10;3.285648175546277e+04;3.743255162313353e+04;2.329872256472907e+05;3.220284258131455e+04
4.699999999999998e-11;-3.127469823748578e-10;3.322441313517348e+04;3.780035272919169e+04;2.355628658611396e+05;3.257055652307144e+04
4.749999999999998e-11;-3.173350659139176e-10;3.359233348200851e+04;3.816815226189783e+04;2.381385060749893e+05;3.293827523208597e+04
4.799999999999998e-11;-3.230088991657912e-10;3.396024359125116e+04;3.853595034183065e+04;2.407141462888409e+05;3.330599835352240e+04
4.849999999999997e-11;-3.327108567407617e-10;3.432814421102848e+04;3.890374706714523e+04;2.432897865026953e+05;3.367372557486460e+04
4.899999999999997e-11;-3.428518699846268e-10;3.469603602921905e+04;3.927154254442229e+04;2.458654267165555e+05;3.404145659064850e+04
4.949999999999997e-11;-3.502726527355994e-10;3.506391968429396e+04;3.963933685588137e+04;2.484410669304194e+05;3.440919113196241e+04
4.999999999999997e-11;-3.529627996955898e-10;3.543179577302699e+04;4.000713009456515e+04;2.510167071442856e+05;3.477692893679111e+04
5.049999999999997e-11;6.668029088839718e-03;3.579967031972551e+04;4.037492245124236e+04;2.535923473591788e+05;3.514466978921308e+04
5.099999999999997e-11;4.863950769353600e-02;3.616756666898267e+04;4.074271473250099e+04;2.561679875737392e+05;3.551241355580681e+04
5.149999999999996e-11;1.415547572655510e-01;3.653569500821770e+04;4.115117051763361e+04;2.587436277878417e+05;3.588047177208206e+04
5.199999999999996e-11;2.658698013885105e-01;3.690469375806117e+04;4.154152958629497e+04;2.613192680018701e+05;3.624985142669723e+04
5.249999999999996e-11;3.976643206762756e-01;3.727472562558564e+04;4.191988855823944e+04;2.638949082158403e+05;3.662073002226719e+04
5.299999999999996e-11;5.188941363505923e-01;3.764559541882073e+04;4.229059588090216e+04;2.664705484297639e+05;3.699265252172294e+04
5.349999999999996e-11;6.182539839561585e-01;3.801698756742828e+04;4.265670949129593e+04;2.690461886436544e+05;3.736498104656958e+04
5.399999999999996e-11;6.905984928023677e-01;3.838858765425441e+04;4.302033047102585e+04;2.716218288575446e+05;3.773714547634193e+04
5.449999999999995e-11;7.355265201879850e-01;3.876013660269366e+04;4.338285425322555e+04;2.741974690714359e+05;3.810875128779465e+04
5.499999999999995e-11;7.557820403184780e-01;3.913144741286385e+04;4.374516351089417e+04;2.767731092853291e+05;3.847959687148086e+04
5.549999999999995e-11;7.558800988783607e-01;3.950240253263837e+04;4.410777708874475e+04;2.793487494992027e+05;3.884964222332599e+04
5.599999999999995e-11;7.410858734780341e-01;3.987294252956679e+04;4.447096411705289e+04;2.819243897130783e+05;3.921895882110363e+04
5.649999999999995e-11;7.167079505638089e-01;4.024305210538316e+04;4.483482979074283e+04;2.845000299269570e+05;3.958767928385734e+04
5.699999999999995e-11;6.876193503889247e-01;4.061274664656977e+04;4.519937811469914e+04;2.870756701408385e+05;3.995595644902848e+04
5.749999999999994e-11;6.579379328632970e-01;4.098206078468514e+04;4.556455617826787e+04;2.896513103547202e+05;4.032393523041117e+04
5.799999999999994e-11;6.308316965296072e-01;4.135103944181537e+04;4.593028401728989e+04;2.922269505686001e+05;4.069173674679922e+04
5.849999999999994e-11;6.084372479926246e-01;4.171973130426671e+04;4.629647362303441e+04;2.948025907824452e+05;4.105945218000428e+04
5.899999999999994e-11;5.918848059711126e-01;4.208818440188419e+04;4.666304011897425e+04;2.973782309962634e+05;4.142714339571029e+04
5.949999999999994e-11;5.814157519580107e-01;4.245644334302912e+04;4.702990755315013e+04;2.999538712100763e+05;4.179484732866300e+04
5.999999999999993e-11;5.765678528624842e-01;4.282454782737053e+04;4.739701116529898e+04;3.025295114238872e+05;4.216258200570840e+04
6.049999999999993e-11;5.830719742175541e-01;4.319253754218137e+04;4.776429770739459e+04;3.051051516366058e+05;4.253035255693203e+04
6.099999999999993e-11;6.285699535012979e-01;4.356046399397899e+04;4.813172498154960e+04;3.076807918496917e+05;4.289815646847266e+04
6.149999999999993e-11;7.217578299741005e-01;4.392855516786647e+04;4.853996476770401e+04;3.102564320631554e+05;4.326629938850179e+04
