time units=S;v(1000) units=V;v(1001) units=V;v(1002) units=V;v(1003) units=V;v(1004) units=V;v(1005) units=V;v(1006) units=V;v(1007) units=V;v(1008) units=V;v(1009) units=V;v(1010) units=V;v(1011) units=V;v(1012) units=V;v(1013) units=V;v(1014) units=V;v(1015) units=V;v(1016) units=V;v(1017) units=V;v(1018) units=V;v(1019) units=V;v(1020) units=V;v(1021) units=V;v(1022) units=V;v(1023) units=V;v(1024) units=V;v(1025) units=V;v(1026) units=V;v(1027) units=V;v(1028) units=V;v(1029) units=V;v(1030) units=V;v(1031) units=V;v(1032) units=V;v(1033) units=V;v(1034) units=V;v(1035) units=V;v(1036) units=V;v(1037) units=V;v(1038) units=V;v(1039) units=V;v(1040) units=V;v(1041) units=V;v(1042) units=V;v(1043) units=V;v(1044) units=V;v(1045) units=V;v(1046) units=V;v(1047) units=V;v(1048) units=V;v(1049) units=V;v(1050) units=V;v(1051) units=V;v(1054) units=V;v(1055) units=V;v(1056) units=V;v(1057) units=V;v(1058) units=V;v(1059) units=V;v(1060) units=V;v(1061) units=V;v(1062) units=V;v(1063) units=V;v(1064) units=V;v(1065) units=V;v(1066) units=V;v(1067) units=V;v(1068) units=V;v(1069) units=V;v(1070) units=V;v(1071) units=V;v(1072) units=V;v(1073) units=V;v(1074) units=V;v(1075) units=V;v(1076) units=V;v(1077) units=V;v(1078) units=V;v(1079) units=V;v(1080) units=V;v(1081) units=V;v(1082) units=V;v(1083) units=V;v(1084) units=V;v(1085) units=V;v(1086) units=V;v(1087) units=V;v(1088) units=V;v(1089) units=V;v(1090) units=V;v(1091) units=V;v(1092) units=V;v(1093) units=V;v(1094) units=V;v(1095) units=V;v(1096) units=V;v(1097) units=V;v(1098) units=V;v(1099) units=V;v(1100) units=V;v(1101) units=V;v(1102) units=V;v(1103) units=V;v(1104) units=V;v(1105) units=V
0.000000000000000e+00;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;-6.578866710867921e-05;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00
5.000000000000000e-13;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715097e-01;-1.262805826715098e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715095e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715089e-01;-1.262805826715110e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715107e-01;-1.262805826715084e-01;-1.262805826715084e-01;-1.262805826715084e-01;-1.262805826715084e-01;-1.262805826715084e-01;-1.262805826715084e-01;-1.262805826715084e-01;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15;1.126948080866018e-15
1.000000000000000e-12;-4.768489819652120e-01;-4.768489819652124e-01;-4.768489819652124e-01;-4.768489819652127e-01;-4.768489819652127e-01;-4.768489819652127e-01;-4.768489819652127e-01;-4.768489819652124e-01;-4.768489819652130e-01;-4.768489819652124e-01;-4.768489819652124e-01;-4.768489819652141e-01;-4.768489819652112e-01;-4.768489819652112e-01;-4.768489819652112e-01;-4.768489819652119e-01;-4.768489819652132e-01;-4.768489819652125e-01;-4.768489819652138e-01;-4.768489819652138e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652145e-01;-4.768489819652145e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652157e-01;-4.768489819652145e-01;-4.768489819652237e-01;-4.768489819652201e-01;-4.768489819652215e-01;-4.768489819652215e-01;-4.768489819652215e-01;-4.768489819652201e-01;-4.768489819652201e-01;-4.768489819652201e-01;-4.768489819652201e-01;-4.768489819652201e-01;-4.768489819652201e-01;-4.768489819652177e-01;-4.768489819652177e-01;-4.768489819652177e-01;-4.768489819652177e-01;-4.768489819652177e-01;-4.768489819652177e-01;-4.768489819652177e-01;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15;5.017602483864482e-15
1.500000000000000e-12;-1.004449317470269e+00;-1.004449317470270e+00;-1.004449317470270e+00;-1.004449317470272e+00;-1.004449317470272e+00;-1.004449317470272e+00;-1.004449317470272e+00;-1.004449317470270e+00;-1.004449317470273e+00;-1.004449317470271e+00;-1.004449317470269e+00;-1.004449317470273e+00;-1.004449317470265e+00;-1.004449317470266e+00;-1.004449317470265e+00;-1.004449317470268e+00;-1.004449317470271e+00;-1.004449317470268e+00;-1.004449317470276e+00;-1.004449317470276e+00;-1.004449317470282e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470285e+00;-1.004449317470277e+00;-1.004449317470279e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470281e+00;-1.004449317470276e+00;-1.004449317470300e+00;-1.004449317470287e+00;-1.004449317470290e+00;-1.004449317470290e+00;-1.004449317470290e+00;-1.004449317470285e+00;-1.004449317470285e+00;-1.004449317470285e+00;-1.004449317470285e+00;-1.004449317470285e+00;-1.004449317470282e+00;-1.004449317470283e+00;-1.004449317470283e+00;-1.004449317470283e+00;-1.004449317470283e+00;-1.004449317470283e+00;-1.004449317470286e+00;-1.004449317470286e+00;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14;1.534435281287643e-14
2.000000000000000e-12;-1.662835653818019e+00;-1.662835653818022e+00;-1.662835653818024e+00;-1.662835653818026e+00;-1.662835653818024e+00;-1.662835653818024e+00;-1.662835653818026e+00;-1.662835653818021e+00;-1.662835653818026e+00;-1.662835653818024e+00;-1.662835653818018e+00;-1.662835653818021e+00;-1.662835653818006e+00;-1.662835653818007e+00;-1.662835653818005e+00;-1.662835653818012e+00;-1.662835653818012e+00;-1.662835653818007e+00;-1.662835653818029e+00;-1.662835653818029e+00;-1.662835653818040e+00;-1.662835653818035e+00;-1.662835653818035e+00;-1.662835653818042e+00;-1.662835653818021e+00;-1.662835653818027e+00;-1.662835653818027e+00;-1.662835653818027e+00;-1.662835653818026e+00;-1.662835653818024e+00;-1.662835653818024e+00;-1.662835653818024e+00;-1.662835653818024e+00;-1.662835653818014e+00;-1.662835653818057e+00;-1.662835653818028e+00;-1.662835653818028e+00;-1.662835653818028e+00;-1.662835653818031e+00;-1.662835653818020e+00;-1.662835653818020e+00;-1.662835653818020e+00;-1.662835653818020e+00;-1.662835653818020e+00;-1.662835653818010e+00;-1.662835653818016e+00;-1.662835653818014e+00;-1.662835653818014e+00;-1.662835653818014e+00;-1.662835653818014e+00;-1.662835653818026e+00;-1.662835653818024e+00;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.862018483506792e-14;3.607342555759856e-14
2.500000000000000e-12;-2.438860200117180e+00;-2.438860200117186e+00;-2.438860200117189e+00;-2.438860200117191e+00;-2.438860200117189e+00;-2.438860200117187e+00;-2.438860200117189e+00;-2.438860200117180e+00;-2.438860200117189e+00;-2.438860200117188e+00;-2.438860200117177e+00;-2.438860200117174e+00;-2.438860200117149e+00;-2.438860200117151e+00;-2.438860200117146e+00;-2.438860200117159e+00;-2.438860200117154e+00;-2.438860200117146e+00;-2.438860200117188e+00;-2.438860200117188e+00;-2.438860200117201e+00;-2.438860200117189e+00;-2.438860200117188e+00;-2.438860200117197e+00;-2.438860200117154e+00;-2.438860200117170e+00;-2.438860200117165e+00;-2.438860200117165e+00;-2.438860200117160e+00;-2.438860200117155e+00;-2.438860200117155e+00;-2.438860200117155e+00;-2.438860200117155e+00;-2.438860200117137e+00;-2.438860200117203e+00;-2.438860200117155e+00;-2.438860200117150e+00;-2.438860200117150e+00;-2.438860200117163e+00;-2.438860200117147e+00;-2.438860200117147e+00;-2.438860200117147e+00;-2.438860200117147e+00;-2.438860200117147e+00;-2.438860200117124e+00;-2.438860200117136e+00;-2.438860200117128e+00;-2.438860200117128e+00;-2.438860200117128e+00;-2.438860200117128e+00;-2.438860200117159e+00;-2.438860200117149e+00;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;7.760450762483236e-14;6.478986813296984e-14
3.000000000000000e-12;-3.387416002145742e+00;-3.387416002145752e+00;-3.387416002145757e+00;-3.387416002145759e+00;-3.387416002145753e+00;-3.387416002145750e+00;-3.387416002145750e+00;-3.387416002145737e+00;-3.387416002145750e+00;-3.387416002145752e+00;-3.387416002145734e+00;-3.387416002145725e+00;-3.387416002145685e+00;-3.387416002145687e+00;-3.387416002145679e+00;-3.387416002145697e+00;-3.387416002145687e+00;-3.387416002145677e+00;-3.387416002145740e+00;-3.387416002145740e+00;-3.387416002145757e+00;-3.387416002145735e+00;-3.387416002145729e+00;-3.387416002145739e+00;-3.387416002145669e+00;-3.387416002145694e+00;-3.387416002145681e+00;-3.387416002145681e+00;-3.387416002145670e+00;-3.387416002145661e+00;-3.387416002145663e+00;-3.387416002145660e+00;-3.387416002145666e+00;-3.387416002145634e+00;-3.387416002145730e+00;-3.387416002145663e+00;-3.387416002145655e+00;-3.387416002145658e+00;-3.387416002145692e+00;-3.387416002145671e+00;-3.387416002145669e+00;-3.387416002145669e+00;-3.387416002145669e+00;-3.387416002145669e+00;-3.387416002145633e+00;-3.387416002145653e+00;-3.387416002145643e+00;-3.387416002145643e+00;-3.387416002145643e+00;-3.387416002145643e+00;-3.387416002145702e+00;-3.387416002145681e+00;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;1.210563267814278e-13;9.030794507443996e-14
3.500000000000000e-12;-4.615946056507284e+00;-4.615946056507299e+00;-4.615946056507308e+00;-4.615946056507308e+00;-4.615946056507299e+00;-4.615946056507292e+00;-4.615946056507291e+00;-4.615946056507272e+00;-4.615946056507287e+00;-4.615946056507294e+00;-4.615946056507266e+00;-4.615946056507251e+00;-4.615946056507187e+00;-4.615946056507187e+00;-4.615946056507180e+00;-4.615946056507200e+00;-4.615946056507186e+00;-4.615946056507173e+00;-4.615946056507261e+00;-4.615946056507261e+00;-4.615946056507294e+00;-4.615946056507251e+00;-4.615946056507245e+00;-4.615946056507257e+00;-4.615946056507154e+00;-4.615946056507189e+00;-4.615946056507159e+00;-4.615946056507159e+00;-4.615946056507141e+00;-4.615946056507126e+00;-4.615946056507133e+00;-4.615946056507115e+00;-4.615946056507140e+00;-4.615946056507089e+00;-4.615946056507223e+00;-4.615946056507133e+00;-4.615946056507116e+00;-4.615946056507126e+00;-4.615946056507193e+00;-4.615946056507160e+00;-4.615946056507168e+00;-4.615946056507168e+00;-4.615946056507170e+00;-4.615946056507170e+00;-4.615946056507123e+00;-4.615946056507161e+00;-4.615946056507160e+00;-4.615946056507160e+00;-4.615946056507160e+00;-4.615946056507160e+00;-4.615946056507266e+00;-4.615946056507224e+00;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.454522089991887e-13;1.025058861833205e-13
4.000000000000000e-12;-6.183010854772505e+00;-6.183010854772526e+00;-6.183010854772538e+00;-6.183010854772538e+00;-6.183010854772524e+00;-6.183010854772513e+00;-6.183010854772509e+00;-6.183010854772487e+00;-6.183010854772499e+00;-6.183010854772518e+00;-6.183010854772478e+00;-6.183010854772454e+00;-6.183010854772367e+00;-6.183010854772363e+00;-6.183010854772363e+00;-6.183010854772379e+00;-6.183010854772364e+00;-6.183010854772355e+00;-6.183010854772467e+00;-6.183010854772464e+00;-6.183010854772535e+00;-6.183010854772466e+00;-6.183010854772466e+00;-6.183010854772471e+00;-6.183010854772357e+00;-6.183010854772396e+00;-6.183010854772335e+00;-6.183010854772332e+00;-6.183010854772309e+00;-6.183010854772293e+00;-6.183010854772309e+00;-6.183010854772254e+00;-6.183010854772303e+00;-6.183010854772222e+00;-6.183010854772382e+00;-6.183010854772292e+00;-6.183010854772248e+00;-6.183010854772248e+00;-6.183010854772350e+00;-6.183010854772288e+00;-6.183010854772313e+00;-6.183010854772306e+00;-6.183010854772316e+00;-6.183010854772316e+00;-6.183010854772244e+00;-6.183010854772295e+00;-6.183010854772315e+00;-6.183010854772315e+00;-6.183010854772315e+00;-6.183010854772315e+00;-6.183010854772466e+00;-6.183010854772392e+00;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;1.419403545878239e-13;9.757925666488621e-14
4.500000000000000e-12;-8.010010373556039e+00;-8.010010373556067e+00;-8.010010373556076e+00;-8.010010373556078e+00;-8.010010373556064e+00;-8.010010373556046e+00;-8.010010373556041e+00;-8.010010373556018e+00;-8.010010373556026e+00;-8.010010373556057e+00;-8.010010373556014e+00;-8.010010373555980e+00;-8.010010373555883e+00;-8.010010373555874e+00;-8.010010373555883e+00;-8.010010373555913e+00;-8.010010373555907e+00;-8.010010373555904e+00;-8.010010373556050e+00;-8.010010373556034e+00;-8.010010373556158e+00;-8.010010373556074e+00;-8.010010373556083e+00;-8.010010373556074e+00;-8.010010373556005e+00;-8.010010373556050e+00;-8.010010373555950e+00;-8.010010373555932e+00;-8.010010373555929e+00;-8.010010373555929e+00;-8.010010373555961e+00;-8.010010373555851e+00;-8.010010373555909e+00;-8.010010373555783e+00;-8.010010373555932e+00;-8.010010373555863e+00;-8.010010373555756e+00;-8.010010373555724e+00;-8.010010373555827e+00;-8.010010373555737e+00;-8.010010373555733e+00;-8.010010373555707e+00;-8.010010373555717e+00;-8.010010373555717e+00;-8.010010373555579e+00;-8.010010373555600e+00;-8.010010373555655e+00;-8.010010373555655e+00;-8.010010373555655e+00;-8.010010373555659e+00;-8.010010373555836e+00;-8.010010373555771e+00;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;1.094994615018732e-13;8.497808257698653e-14
